$ pypy -V
Python 2.7.10 (0e2d9a73f5a1818d0245d75daccdbe21b2d5c3ef, Sep 09 2016, 08:57:59)
[PyPy 5.4.1 with GCC 6.1.1 20160621 (Red Hat 6.1.1-3)]

$ pypy runtests.py -v
test_frozen (numba.tests.npyufunc.test_dufunc.TestDUFunc) ... ok
test_npm_call (numba.tests.npyufunc.test_dufunc.TestDUFunc) ... ok
test_npm_call_implicit_output (numba.tests.npyufunc.test_dufunc.TestDUFunc) ... ERROR
test_scalar (numba.tests.npyufunc.test_dufunc.TestDUFunc) ... ok
test_ufunc_props (numba.tests.npyufunc.test_dufunc.TestDUFunc) ... ok
test_gufunc_raise (numba.tests.npyufunc.test_errors.TestExceptions) ... ok
test_gufunc_raise_objmode (numba.tests.npyufunc.test_errors.TestExceptions) ... ERROR
test_ufunc_raise (numba.tests.npyufunc.test_errors.TestExceptions) ... ok
test_ufunc_raise_objmode (numba.tests.npyufunc.test_errors.TestExceptions) ... ERROR
test_floordiv_float (numba.tests.npyufunc.test_errors.TestFloatingPointExceptions) ... ok
test_floordiv_int (numba.tests.npyufunc.test_errors.TestFloatingPointExceptions) ... ok
test_power_float (numba.tests.npyufunc.test_errors.TestFloatingPointExceptions) ... ok
test_power_integer (numba.tests.npyufunc.test_errors.TestFloatingPointExceptions) ... ok
test_remainder_float (numba.tests.npyufunc.test_errors.TestFloatingPointExceptions) ... ok
test_remainder_int (numba.tests.npyufunc.test_errors.TestFloatingPointExceptions) ... ok
test_truediv_float (numba.tests.npyufunc.test_errors.TestFloatingPointExceptions) ... ok
test_truediv_integer (numba.tests.npyufunc.test_errors.TestFloatingPointExceptions) ... ok
test_gil_reacquire_deadlock (numba.tests.npyufunc.test_parallel_ufunc_issues.TestParUfuncIssues) ... ERROR
test_thread_response (numba.tests.npyufunc.test_parallel_ufunc_issues.TestParUfuncIssues) ... ok
test_cpu_1 (numba.tests.npyufunc.test_vectorize_decor.TestVectorizeDecor) ... ok
test_cpu_2 (numba.tests.npyufunc.test_vectorize_decor.TestVectorizeDecor) ... ok
test_cpu_3 (numba.tests.npyufunc.test_vectorize_decor.TestVectorizeDecor) ... ok
test_cpu_4 (numba.tests.npyufunc.test_vectorize_decor.TestVectorizeDecor) ... ok
test_parallel_1 (numba.tests.npyufunc.test_vectorize_decor.TestVectorizeDecor) ... ok
test_parallel_2 (numba.tests.npyufunc.test_vectorize_decor.TestVectorizeDecor) ... ok
